NodeID,SpeciesID,StageID,Stage,Species.StageID,WorkingName,OrganismalGroup,NodeType,Resolution,ResolutionNotes,Feeding,Lifestyle(stage),Lifestyle(species),ConsumerStrategy(stage),System,HabitatAffiliation,Mobility,Residency,NativeStatus,BodySize(g),BodySizeEstimation,BodySizeNotes,BodySizeN,Biomass(kg/ha),BiomassEstimation,BiomassNotes,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Order,Suborder,Infraorder,Superfamily,Family,Genus,SpecificEpithet,Subspecies,NodeNotes
1,1,1,Adult,1.1,Phytoplankton,Plant,Common Name,Assemblage,,Autotroph,Free-Living,Free-Living,Autotroph,,,Low,Resident,,,,,,,,,Plantae,,,,,,,,,,,,,,NA
2,2,1,Adult,2.1,Epipellic Flora,Plant,Common Name,Assemblage,,Autotroph,Free-Living,Free-Living,Autotroph,,,Low,Resident,,,,,,,,,Plantae,,,,,,,,,,,,,,NA
3,3,1,Adult,3.1,Macroalgae/Seagrass,Plant,Common Name,Assemblage,,Autotroph,Free-Living,Free-Living,Autotroph,,,Low,Resident,,,,,,,,,Plantae,,,,,,,,,,,,,,NA
4,4,1,Adult,4.1,Zooplankton,Zooplankton,Common Name,Assemblage,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,,,,,,,,,,,,,,NA
5,5,1,Adult,5.1,Meiofauna,Meiofauna,Common Name,Assemblage,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,,,,,,,,,,,,,,NA
6,6,1,Adult,6.1,Bacteria,Bacteria,Common Name,Assemblage,,Feeding,Free-Living,Free-Living,Detrivtore,,,Low,Resident,,,,,,,,,Protista,,,,,,,,,,,,,,NA
7,7,1,Adult,7.1,Anthopleura aureoradiata,Anthozoan,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Cnidaria,,,Anthozoa,,,,,,,Anthopleura,aureoradiata,,NA
8,8,1,Adult,8.1,Edwardsia sp.,Anthozoan,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Cnidaria,,,Anthozoa,,,,,,,Edwardsia,sp.,,NA
9,9,1,Adult,9.1,Enopla 1,Nemertean,Taxon,Species,,Feeding,Free-iving,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Nemertinea,,,Enopla,,,,,,,,,,NA
10,10,1,Adult,10.1,Enopla 2,Nemertean,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Nemertinea,,,Enopla,,,,,,,,,,NA
