res,con,para
2,10,0
4,10,0
2,11,0
6,11,0
2,12,0
11,13,0
14,13,0
15,13,0
16,13,0
17,13,0
18,13,0
19,13,0
20,13,0
2,14,0
2,15,0
2,16,0
2,17,0
6,17,0
2,18,0
6,18,0
2,19,0
6,19,0
10,19,0
11,19,0
12,19,0
13,19,0
15,19,0
16,19,0
17,19,0
18,19,0
19,19,0
20,19,0
24,19,0
34,19,0
37,19,0
39,19,0
98,19,0
99,19,0
100,19,0
101,19,0
102,19,0
104,19,0
105,19,0
107,19,0
108,19,0
110,19,0
111,19,0
112,19,0
113,19,0
114,19,0
115,19,0
116,19,0
117,19,0
118,19,0
119,19,0
120,19,0
121,19,0
122,19,0
123,19,0
124,19,0
125,19,0
126,19,0
127,19,0
128,19,0
2,20,0
6,20,0
10,20,0
11,20,0
12,20,0
13,20,0
15,20,0
16,20,0
17,20,0
18,20,0
19,20,0
20,20,0
24,20,0
34,20,0
37,20,0
39,20,0
98,20,0
99,20,0
100,20,0
101,20,0
102,20,0
104,20,0
105,20,0
107,20,0
108,20,0
110,20,0
111,20,0
112,20,0
113,20,0
114,20,0
115,20,0
116,20,0
117,20,0
118,20,0
119,20,0
120,20,0
121,20,0
122,20,0
123,20,0
125,20,0
126,20,0
127,20,0
128,20,0
50,21,0
2,22,0
11,22,0
12,22,0
13,22,0
15,22,0
16,22,0
17,22,0
18,22,0
19,22,0
20,22,0
24,22,0
34,22,0
97,22,0
98,22,0
99,22,0
100,22,0
101,22,0
102,22,0
104,22,0
105,22,0
106,22,0
107,22,0
108,22,0
109,22,0
110,22,0
111,22,0
112,22,0
113,22,0
114,22,0
115,22,0
116,22,0
117,22,0
118,22,0
119,22,0
120,22,0
121,22,0
122,22,0
123,22,0
124,22,0
125,22,0
126,22,0
127,22,0
128,22,0
11,23,0
12,23,0
13,23,0
14,23,0
15,23,0
16,23,0
17,23,0
18,23,0
19,23,0
20,23,0
6,24,0
2,25,0
4,25,0
3,26,0
2,27,0
4,27,0
2,28,0
4,28,0
3,29,0
2,30,0
3,30,0
59,30,0
60,30,0
61,30,0
62,30,0
63,30,0
64,30,0
65,30,0
66,30,0
67,30,0
68,30,0
69,30,0
70,30,0
71,30,0
72,30,0
73,30,0
74,30,0
75,30,0
76,30,0
77,30,0
78,30,0
79,30,0
80,30,0
81,30,0
82,30,0
83,30,0
84,30,0
85,30,0
86,30,0
87,30,0
88,30,0
89,30,0
90,30,0
91,30,0
3,31,0
2,32,0
2,33,0
3,33,0
59,33,0
60,33,0
61,33,0
62,33,0
63,33,0
64,33,0
65,33,0
66,33,0
67,33,0
68,33,0
69,33,0
70,33,0
71,33,0
72,33,0
73,33,0
74,33,0
75,33,0
76,33,0
77,33,0
78,33,0
79,33,0
80,33,0
81,33,0
82,33,0
83,33,0
84,33,0
85,33,0
86,33,0
87,33,0
88,33,0
89,33,0
90,33,0
91,33,0
6,34,0
1,35,0
2,35,0
4,35,0
2,36,0
4,36,0
5,36,0
2,37,0
2,38,0
4,38,0
2,39,0
6,39,0
2,40,0
4,40,0
5,40,0
2,41,0
4,41,0
2,42,0
2,43,0
3,43,0
2,44,0
4,44,0
2,45,0
6,45,0
1,46,0
2,46,0
3,46,0
4,46,0
5,46,0
7,46,0
9,46,0
11,46,0
12,46,0
13,46,0
14,46,0
15,46,0
16,46,0
17,46,0
18,46,0
19,46,0
20,46,0
22,46,0
23,46,0
24,46,0
25,46,0
27,46,0
28,46,0
29,46,0
35,46,0
36,46,0
40,46,0
41,46,0
2,47,0
5,47,0
10,47,0
11,47,0
12,47,0
13,47,0
15,47,0
16,47,0
17,47,0
18,47,0
19,47,0
20,47,0
24,47,0
34,47,0
39,47,0
10,48,0
11,48,0
12,48,0
13,48,0
15,48,0
16,48,0
17,48,0
18,48,0
19,48,0
20,48,0
24,48,0
32,48,0
36,48,0
37,48,0
38,48,0
39,48,0
40,48,0
41,48,0
42,48,0
44,48,0
97,48,0
98,48,0
99,48,0
100,48,0
101,48,0
102,48,0
105,48,0
106,48,0
109,48,0
110,48,0
111,48,0
112,48,0
113,48,0
114,48,0
116,48,0
118,48,0
120,48,0
123,48,0
124,48,0
126,48,0
5,49,0
11,49,0
12,49,0
13,49,0
14,49,0
15,49,0
16,49,0
17,49,0
18,49,0
19,49,0
20,49,0
23,49,0
24,49,0
25,49,0
26,49,0
30,49,0
32,49,0
33,49,0
34,49,0
35,49,0
36,49,0
37,49,0
38,49,0
39,49,0
40,49,0
41,49,0
42,49,0
44,49,0
97,49,0
98,49,0
99,49,0
100,49,0
101,49,0
105,49,0
106,49,0
109,49,0
110,49,0
111,49,0
112,49,0
113,49,0
114,49,0
118,49,0
120,49,0
124,49,0
126,49,0
5,50,0
31,50,0
32,50,0
35,50,0
36,50,0
37,50,0
38,50,0
40,50,0
41,50,0
42,50,0
43,50,0
44,50,0
45,50,0
46,50,0
48,50,0
49,50,0
55,50,0
57,50,0
97,50,0
105,50,0
106,50,0
111,50,0
112,50,0
114,50,0
13,51,0
15,51,0
16,51,0
17,51,0
18,51,0
19,51,0
20,51,0
23,51,0
31,51,0
32,51,0
36,51,0
37,51,0
38,51,0
40,51,0
42,51,0
43,51,0
45,51,0
46,51,0
48,51,0
49,51,0
55,51,0
57,51,0
97,51,0
99,51,0
101,51,0
105,51,0
106,51,0
111,51,0
112,51,0
114,51,0
118,51,0
122,51,0
2,52,0
5,52,0
45,53,0
46,53,0
47,53,0
48,53,0
49,53,0
51,53,0
55,53,0
57,53,0
13,54,0
45,54,0
46,54,0
13,55,0
15,55,0
16,55,0
17,55,0
18,55,0
32,55,0
36,55,0
37,55,0
38,55,0
40,55,0
41,55,0
42,55,0
44,55,0
97,55,0
98,55,0
99,55,0
100,55,0
101,55,0
102,55,0
105,55,0
106,55,0
109,55,0
110,55,0
111,55,0
112,55,0
113,55,0
114,55,0
118,55,0
120,55,0
123,55,0
124,55,0
126,55,0
45,56,0
46,56,0
48,56,0
55,56,0
10,57,0
11,57,0
12,57,0
13,57,0
15,57,0
16,57,0
17,57,0
18,57,0
19,57,0
20,57,0
24,57,0
32,57,0
34,57,0
37,57,0
38,57,0
39,57,0
97,57,0
98,57,0
99,57,0
100,57,0
101,57,0
102,57,0
104,57,0
105,57,0
106,57,0
107,57,0
108,57,0
109,57,0
110,57,0
111,57,0
112,57,0
113,57,0
114,57,0
115,57,0
116,57,0
118,57,0
120,57,0
123,57,0
124,57,0
126,57,0
45,58,0
46,58,0
48,58,0
55,58,0
57,58,0
6,59,0
7,59,0
25,59,0
30,59,0
33,59,0
35,59,0
36,59,0
40,59,0
41,59,0
11,60,0
12,60,0
13,60,0
14,60,0
15,60,0
16,60,0
17,60,0
18,60,0
19,60,0
20,60,0
23,60,0
24,60,0
27,60,0
28,60,0
31,60,0
32,60,0
35,60,0
36,60,0
40,60,0
41,60,0
42,60,0
43,60,0
46,60,0
48,60,0
55,60,0
57,60,0
46,61,0
47,61,0
48,61,0
49,61,0
50,61,0
51,61,0
55,61,0
57,61,0
47,62,0
49,62,0
5,63,0
7,63,0
8,63,0
9,63,0
22,63,0
25,63,0
35,63,0
36,63,0
40,63,0
41,63,0
31,64,0
35,64,0
46,64,0
1,65,0
24,65,0
46,65,0
47,65,0
49,65,0
25,66,0
27,66,0
28,66,0
29,66,0
31,66,0
35,66,0
36,66,0
40,66,0
41,66,0
43,66,0
46,66,0
49,66,0
50,66,0
11,67,0
12,67,0
13,67,0
14,67,0
15,67,0
16,67,0
17,67,0
18,67,0
19,67,0
20,67,0
23,67,0
27,67,0
28,67,0
31,67,0
32,67,0
36,67,0
40,67,0
41,67,0
42,67,0
43,67,0
49,67,0
36,68,0
40,68,0
41,68,0
46,68,0
47,68,0
48,68,0
49,68,0
50,68,0
51,68,0
55,68,0
57,68,0
47,69,0
48,69,0
49,69,0
55,69,0
57,69,0
47,70,0
48,70,0
49,70,0
50,70,0
51,70,0
52,70,0
55,70,0
57,70,0
27,71,0
41,71,0
43,71,0
46,71,0
11,72,0
12,72,0
13,72,0
14,72,0
15,72,0
16,72,0
17,72,0
18,72,0
19,72,0
20,72,0
23,72,0
27,72,0
28,72,0
30,72,0
33,72,0
35,72,0
48,72,0
55,72,0
57,72,0
45,73,0
46,73,0
48,73,0
55,73,0
57,73,0
11,74,0
12,74,0
13,74,0
14,74,0
15,74,0
16,74,0
17,74,0
18,74,0
19,74,0
20,74,0
23,74,0
25,74,0
26,74,0
27,74,0
28,74,0
29,74,0
32,74,0
35,74,0
36,74,0
38,74,0
40,74,0
41,74,0
42,74,0
48,74,0
49,74,0
55,74,0
57,74,0
11,75,0
12,75,0
13,75,0
14,75,0
15,75,0
16,75,0
17,75,0
18,75,0
19,75,0
20,75,0
23,75,0
27,75,0
28,75,0
31,75,0
35,75,0
36,75,0
37,75,0
38,75,0
40,75,0
41,75,0
43,75,0
49,75,0
11,76,0
12,76,0
13,76,0
14,76,0
15,76,0
16,76,0
17,76,0
18,76,0
19,76,0
20,76,0
23,76,0
29,76,0
31,76,0
32,76,0
36,76,0
38,76,0
40,76,0
41,76,0
42,76,0
43,76,0
46,76,0
48,76,0
55,76,0
57,76,0
5,77,0
7,77,0
8,77,0
9,77,0
22,77,0
25,77,0
30,77,0
33,77,0
35,77,0
36,77,0
40,77,0
41,77,0
47,78,0
49,78,0
50,78,0
51,78,0
52,78,0
36,79,0
40,79,0
41,79,0
46,79,0
47,79,0
48,79,0
49,79,0
50,79,0
51,79,0
55,79,0
57,79,0
31,80,0
35,80,0
43,80,0
47,81,0
48,81,0
49,81,0
50,81,0
51,81,0
52,81,0
55,81,0
57,81,0
46,82,0
47,82,0
48,82,0
49,82,0
50,82,0
51,82,0
55,82,0
57,82,0
11,83,0
12,83,0
13,83,0
14,83,0
15,83,0
16,83,0
17,83,0
18,83,0
19,83,0
20,83,0
23,83,0
27,83,0
28,83,0
31,83,0
32,83,0
36,83,0
40,83,0
41,83,0
42,83,0
43,83,0
49,83,0
47,84,0
48,84,0
49,84,0
55,84,0
57,84,0
11,85,0
12,85,0
13,85,0
14,85,0
15,85,0
16,85,0
17,85,0
18,85,0
19,85,0
20,85,0
23,85,0
25,85,0
26,85,0
27,85,0
28,85,0
29,85,0
32,85,0
35,85,0
36,85,0
38,85,0
40,85,0
41,85,0
42,85,0
48,85,0
49,85,0
55,85,0
57,85,0
35,86,0
46,86,0
47,86,0
48,86,0
49,86,0
50,86,0
51,86,0
55,86,0
57,86,0
35,87,0
46,87,0
47,87,0
48,87,0
49,87,0
50,87,0
51,87,0
55,87,0
57,87,0
1,88,0
24,88,0
46,88,0
47,88,0
4,89,0
11,89,0
12,89,0
13,89,0
14,89,0
15,89,0
16,89,0
17,89,0
18,89,0
19,89,0
20,89,0
23,89,0
25,89,0
27,89,0
28,89,0
32,89,0
35,89,0
38,89,0
42,89,0
29,90,0
46,90,0
11,91,0
12,91,0
13,91,0
14,91,0
15,91,0
16,91,0
17,91,0
18,91,0
19,91,0
20,91,0
23,91,0
24,91,0
27,91,0
28,91,0
30,91,0
31,91,0
32,91,0
33,91,0
35,91,0
36,91,0
38,91,0
40,91,0
41,91,0
42,91,0
43,91,0
45,91,0
46,91,0
48,91,0
55,91,0
57,91,0
2,92,0
19,93,1
33,94,1
59,94,1
60,94,1
61,94,1
62,94,1
63,94,1
64,94,1
65,94,1
66,94,1
67,94,1
68,94,1
