res,con,para
2,11,0
5,11,0
2,12,0
9,12,0
2,13,0
2,14,0
9,14,0
112,14,0
113,14,0
114,14,0
116,14,0
117,14,0
118,14,0
121,14,0
123,14,0
125,14,0
128,14,0
129,14,0
130,14,0
131,14,0
132,14,0
134,14,0
135,14,0
136,14,0
137,14,0
138,14,0
56,15,0
58,15,0
48,16,1
12,17,0
13,17,0
14,17,0
12,18,0
13,18,0
14,18,0
9,19,0
2,20,0
5,20,0
9,20,0
112,20,0
113,20,0
114,20,0
116,20,0
117,20,0
118,20,0
119,20,0
120,20,0
121,20,0
122,20,0
123,20,0
124,20,0
125,20,0
127,20,0
128,20,0
129,20,0
130,20,0
131,20,0
132,20,0
133,20,0
134,20,0
135,20,0
136,20,0
137,20,0
138,20,0
2,21,0
5,21,0
9,21,0
12,21,0
14,21,0
19,21,0
20,21,0
21,21,0
22,21,0
23,21,0
24,21,0
25,21,0
26,21,0
27,21,0
111,21,0
112,21,0
113,21,0
114,21,0
115,21,0
116,21,0
117,21,0
118,21,0
119,21,0
120,21,0
121,21,0
122,21,0
123,21,0
124,21,0
125,21,0
126,21,0
127,21,0
128,21,0
129,21,0
130,21,0
131,21,0
132,21,0
133,21,0
134,21,0
135,21,0
136,21,0
137,21,0
138,21,0
9,22,0
5,23,0
9,23,0
12,23,0
14,23,0
19,23,0
20,23,0
21,23,0
22,23,0
23,23,0
24,23,0
25,23,0
26,23,0
27,23,0
111,23,0
112,23,0
113,23,0
114,23,0
115,23,0
116,23,0
117,23,0
118,23,0
119,23,0
120,23,0
121,23,0
122,23,0
123,23,0
124,23,0
125,23,0
126,23,0
127,23,0
128,23,0
129,23,0
130,23,0
131,23,0
132,23,0
133,23,0
134,23,0
135,23,0
136,23,0
137,23,0
138,23,0
5,24,0
9,24,0
112,24,0
113,24,0
114,24,0
115,24,0
116,24,0
117,24,0
118,24,0
119,24,0
120,24,0
121,24,0
122,24,0
123,24,0
124,24,0
125,24,0
126,24,0
127,24,0
128,24,0
129,24,0
130,24,0
131,24,0
132,24,0
133,24,0
134,24,0
135,24,0
136,24,0
137,24,0
138,24,0
5,25,0
9,25,0
12,25,0
14,25,0
19,25,0
20,25,0
21,25,0
22,25,0
23,25,0
24,25,0
25,25,0
26,25,0
27,25,0
111,25,0
112,25,0
113,25,0
114,25,0
115,25,0
116,25,0
117,25,0
118,25,0
119,25,0
120,25,0
121,25,0
122,25,0
123,25,0
