res,con,para
3,7,0
7,7,0
1,8,0
2,8,0
3,8,0
4,8,0
7,8,0
8,8,0
9,8,0
1,9,0
8,10,0
11,10,0
14,10,0
1,11,0
4,11,0
9,11,0
1,12,0
2,12,0
3,12,0
4,12,0
5,12,0
6,12,0
7,12,0
8,12,0
9,12,0
1,13,0
3,13,0
4,13,0
7,13,0
9,13,0
1,14,0
2,14,0
4,14,0
9,14,0
1,15,0
3,15,0
4,15,0
7,15,0
9,15,0
75,15,0
76,15,0
77,15,0
78,15,0
80,15,0
81,15,0
82,15,0
83,15,0
84,15,0
1,16,0
3,16,0
4,16,0
7,16,0
9,16,0
75,16,0
76,16,0
77,16,0
78,16,0
80,16,0
81,16,0
82,16,0
83,16,0
84,16,0
1,17,0
3,17,0
4,17,0
7,17,0
9,17,0
75,17,0
76,17,0
77,17,0
78,17,0
80,17,0
81,17,0
82,17,0
83,17,0
84,17,0
1,18,0
4,18,0
9,18,0
1,19,0
4,19,0
9,19,0
1,20,0
4,20,0
9,20,0
1,21,0
4,21,0
9,21,0
1,22,0
2,22,0
4,22,0
5,22,0
9,22,0
1,23,0
2,23,0
4,23,0
5,23,0
9,23,0
1,24,0
4,24,0
5,24,0
9,24,0
1,25,0
3,25,0
4,25,0
6,25,0
9,25,0
73,25,0
74,25,0
75,25,0
76,25,0
77,25,0
78,25,0
80,25,0
81,25,0
82,25,0
83,25,0
84,25,0
1,26,0
3,26,0
4,26,0
7,26,0
9,26,0
3,27,0
3,28,0
3,29,0
1,30,0
3,30,0
4,30,0
9,30,0
1,31,0
3,31,0
4,31,0
9,31,0
1,32,0
2,32,0
4,32,0
5,32,0
7,32,0
8,32,0
9,32,0
10,32,0
11,32,0
12,32,0
13,32,0
14,32,0
15,32,0
16,32,0
17,32,0
18,32,0
19,32,0
20,32,0
21,32,0
22,32,0
23,32,0
24,32,0
25,32,0
30,32,0
73,32,0
74,32,0
75,32,0
76,32,0
77,32,0
78,32,0
80,32,0
81,32,0
82,32,0
83,32,0
84,32,0
7,33,0
8,33,0
75,33,0
76,33,0
1,34,0
2,34,0
4,34,0
7,34,0
8,34,0
9,34,0
10,34,0
11,34,0
12,34,0
13,34,0
14,34,0
15,34,0
16,34,0
17,34,0
18,34,0
19,34,0
20,34,0
21,34,0
22,34,0
23,34,0
24,34,0
25,34,0
32,34,0
35,34,0
36,34,0
37,34,0
38,34,0
42,34,0
43,34,0
44,34,0
73,34,0
74,34,0
75,34,0
76,34,0
77,34,0
78,34,0
80,34,0
81,34,0
82,34,0
83,34,0
84,34,0
1,35,0
4,35,0
5,35,0
9,35,0
1,36,0
4,36,0
5,36,0
9,36,0
1,37,0
4,37,0
5,37,0
9,37,0
1,38,0
4,38,0
5,38,0
9,38,0
1,39,0
4,39,0
9,39,0
1,40,0
4,40,0
9,40,0
1,41,0
4,41,0
9,41,0
5,42,0
6,42,0
5,43,0
6,43,0
1,44,0
2,44,0
4,44,0
5,44,0
9,44,0
3,45,0
7,45,0
26,45,0
75,45,0
76,45,0
5,46,0
6,46,0
1,47,0
4,47,0
2,48,0
15,48,0
17,48,0
25,48,0
12,49,0
13,49,0
15,49,0
16,49,0
17,49,0
18,49,0
19,49,0
20,49,0
21,49,0
22,49,0
31,49,0
32,49,0
35,49,0
36,49,0
37,49,0
38,49,0
39,49,0
41,49,0
42,49,0
12,50,0
13,50,0
14,50,0
15,50,0
16,50,0
17,50,0
18,50,0
19,50,0
20,50,0
21,50,0
22,50,0
30,50,0
31,50,0
32,50,0
39,50,0
41,50,0
42,50,0
44,50,0
46,50,0
47,50,0
12,51,0
13,51,0
15,51,0
16,51,0
17,51,0
18,51,0
19,51,0
20,51,0
21,51,0
22,51,0
30,51,0
31,51,0
39,51,0
41,51,0
42,51,0
44,51,0
45,51,0
46,51,0
47,51,0
12,52,0
13,52,0
15,52,0
16,52,0
17,52,0
18,52,0
19,52,0
20,52,0
21,52,0
22,52,0
30,52,0
31,52,0
32,52,0
35,52,0
36,52,0
37,52,0
38,52,0
39,52,0
41,52,0
42,52,0
47,52,0
12,53,0
13,53,0
30,53,0
31,53,0
32,53,0
35,53,0
36,53,0
37,53,0
38,53,0
42,53,0
12,54,0
13,54,0
14,54,0
15,54,0
16,54,0
17,54,0
18,54,0
19,54,0
20,54,0
21,54,0
22,54,0
30,54,0
31,54,0
32,54,0
35,54,0
36,54,0
37,54,0
38,54,0
40,54,0
41,54,0
42,54,0
12,55,0
13,55,0
14,55,0
18,55,0
19,55,0
20,55,0
21,55,0
22,55,0
30,55,0
31,55,0
32,55,0
41,55,0
42,55,0
45,55,0
47,55,0
12,56,0
13,56,0
14,56,0
15,56,0
16,56,0
17,56,0
15,57,0
16,57,0
17,57,0
30,57,0
31,57,0
32,57,0
35,57,0
36,57,0
37,57,0
38,57,0
41,57,0
42,57,0
47,57,0
50,57,0
12,58,0
13,58,0
15,58,0
16,58,0
17,58,0
18,58,0
19,58,0
20,58,0
21,58,0
22,58,0
31,58,0
45,58,0
32,59,0
35,59,0
36,59,0
37,59,0
38,59,0
42,59,0
45,59,0
26,60,0
27,60,0
28,60,0
29,60,0
49,61,0
50,61,0
51,61,0
52,61,0
53,61,0
54,61,0
55,61,0
56,61,0
57,61,0
58,61,0
59,61,0
60,61,0
49,62,0
50,62,0
51,62,0
52,62,0
53,62,0
54,62,0
55,62,0
56,62,0
57,62,0
58,62,0
59,62,0
60,62,0
5,63,0
6,63,0
15,63,0
16,63,0
17,63,0
18,63,0
19,63,0
20,63,0
21,63,0
22,63,0
23,63,0
24,63,0
32,63,0
34,63,0
35,63,0
36,63,0
37,63,0
38,63,0
42,63,0
43,63,0
44,63,0
15,64,0
16,64,0
17,64,0
18,64,0
19,64,0
20,64,0
21,64,0
22,64,0
23,64,0
24,64,0
32,64,0
34,64,0
35,64,0
36,64,0
37,64,0
38,64,0
42,64,0
43,64,0
44,64,0
12,65,0
13,65,0
14,65,0
15,65,0
16,65,0
17,65,0
18,65,0
19,65,0
20,65,0
21,65,0
22,65,0
23,65,0
24,65,0
32,65,0
34,65,0
35,65,0
36,65,0
37,65,0
38,65,0
42,65,0
43,65,0
44,65,0
2,66,0
12,66,0
13,66,0
14,66,0
15,66,0
16,66,0
17,66,0
18,66,0
19,66,0
20,66,0
21,66,0
22,66,0
23,66,0
24,66,0
32,66,0
34,66,0
35,66,0
36,66,0
37,66,0
38,66,0
42,66,0
43,66,0
44,66,0
49,66,0
50,66,0
51,66,0
52,66,0
53,66,0
54,66,0
55,66,0
56,66,0
57,66,0
58,66,0
59,66,0
60,66,0
65,66,0
49,67,0
50,67,0
51,67,0
52,67,0
53,67,0
54,67,0
55,67,0
56,67,0
57,67,0
58,67,0
59,67,0
60,67,0
5,68,0
6,68,0
15,68,0
16,68,0
17,68,0
18,68,0
19,68,0
20,68,0
21,68,0
22,68,0
23,68,0
24,68,0
32,68,0
34,68,0
35,68,0
36,68,0
37,68,0
38,68,0
42,68,0
43,68,0
44,68,0
50,69,1
52,69,1
55,69,1
57,69,1
58,69,1
18,70,1
19,70,1
20,70,1
49,71,1
52,71,1
49,72,1
50,72,1
52,72,1
55,72,1
57,72,1
59,72,1
15,73,1
16,73,1
17,73,1
18,73,1
19,73,1
20,73,1
63,73,1
64,73,1
65,73,1
66,73,1
68,73,1
77,73,0
78,73,0
79,73,0
80,73,0
82,73,0
15,74,1
16,74,1
17,74,1
19,74,1
20,74,1
63,74,1
64,74,1
65,74,1
66,74,1
68,74,1
77,74,0
78,74,0
79,74,0
80,74,0
82,74,0
19,75,1
20,75,1
22,75,1
49,75,1
50,75,1
52,75,1
54,75,1
55,75,1
57,75,1
61,75,1
62,75,1
64,75,1
66,75,1
67,75,1
77,75,0
78,75,0
79,75,0
80,75,0
81,75,0
82,75,0
83,75,0
20,76,1
22,76,1
50,76,1
52,76,1
54,76,1
55,76,1
57,76,1
59,76,1
61,76,1
62,76,1
64,76,1
66,76,1
67,76,1
77,76,0
78,76,0
79,76,0
80,76,0
81,76,0
82,76,0
83,76,0
15,77,1
19,77,1
20,77,1
63,77,1
64,77,1
65,77,1
66,77,1
68,77,1
18,78,1
19,78,1
