res,con,para
2,14,0
5,14,0
2,15,0
9,15,0
2,16,0
9,16,0
2,17,0
2,18,0
2,19,0
2,20,0
9,20,0
2,21,0
15,22,0
16,22,0
17,22,0
19,22,0
21,22,0
23,22,0
24,22,0
25,22,0
26,22,0
27,22,0
28,22,0
29,22,0
30,22,0
31,22,0
38,22,0
2,23,0
2,24,0
2,25,0
2,26,0
9,26,0
2,27,0
9,27,0
2,28,0
9,28,0
14,28,0
15,28,0
16,28,0
17,28,0
18,28,0
19,28,0
20,28,0
21,28,0
22,28,0
24,28,0
25,28,0
26,28,0
27,28,0
28,28,0
29,28,0
30,28,0
31,28,0
42,28,0
43,28,0
44,28,0
45,28,0
46,28,0
47,28,0
48,28,0
49,28,0
50,28,0
51,28,0
52,28,0
53,28,0
54,28,0
55,28,0
72,28,0
78,28,0
82,28,0
188,28,0
189,28,0
190,28,0
191,28,0
192,28,0
193,28,0
194,28,0
196,28,0
197,28,0
198,28,0
200,28,0
201,28,0
204,28,0
205,28,0
206,28,0
207,28,0
208,28,0
209,28,0
210,28,0
211,28,0
212,28,0
213,28,0
214,28,0
215,28,0
216,28,0
217,28,0
218,28,0
219,28,0
220,28,0
221,28,0
222,28,0
223,28,0
224,28,0
225,28,0
226,28,0
227,28,0
228,28,0
229,28,0
230,28,0
231,28,0
232,28,0
233,28,0
2,29,0
9,29,0
188,29,0
189,29,0
190,29,0
191,29,0
193,29,0
194,29,0
196,29,0
197,29,0
200,29,0
201,29,0
204,29,0
205,29,0
206,29,0
211,29,0
214,29,0
215,29,0
216,29,0
219,29,0
220,29,0
221,29,0
222,29,0
223,29,0
224,29,0
226,29,0
227,29,0
228,29,0
229,29,0
230,29,0
231,29,0
232,29,0
233,29,0
2,30,0
9,30,0
14,30,0
15,30,0
16,30,0
17,30,0
18,30,0
19,30,0
20,30,0
21,30,0
22,30,0
24,30,0
25,30,0
26,30,0
27,30,0
28,30,0
29,30,0
30,30,0
31,30,0
42,30,0
43,30,0
44,30,0
45,30,0
46,30,0
47,30,0
48,30,0
49,30,0
50,30,0
51,30,0
52,30,0
53,30,0
54,30,0
55,30,0
72,30,0
78,30,0
82,30,0
188,30,0
189,30,0
190,30,0
191,30,0
192,30,0
193,30,0
194,30,0
196,30,0
197,30,0
198,30,0
200,30,0
201,30,0
204,30,0
205,30,0
206,30,0
207,30,0
208,30,0
209,30,0
210,30,0
211,30,0
212,30,0
213,30,0
214,30,0
215,30,0
216,30,0
217,30,0
218,30,0
219,30,0
220,30,0
221,30,0
222,30,0
223,30,0
224,30,0
226,30,0
227,30,0
228,30,0
229,30,0
230,30,0
231,30,0
232,30,0
233,30,0
2,31,0
9,31,0
14,31,0
15,31,0
16,31,0
17,31,0
18,31,0
19,31,0
20,31,0
21,31,0
22,31,0
24,31,0
25,31,0
26,31,0
27,31,0
28,31,0
29,31,0
30,31,0
31,31,0
42,31,0
43,31,0
44,31,0
45,31,0
46,31,0
47,31,0
48,31,0
49,31,0
50,31,0
51,31,0
52,31,0
53,31,0
54,31,0
55,31,0
72,31,0
78,31,0
82,31,0
188,31,0
189,31,0
190,31,0
191,31,0
192,31,0
193,31,0
194,31,0
196,31,0
197,31,0
198,31,0
199,31,0
200,31,0
201,31,0
204,31,0
205,31,0
206,31,0
207,31,0
208,31,0
209,31,0
210,31,0
211,31,0
212,31,0
213,31,0
214,31,0
215,31,0
216,31,0
217,31,0
218,31,0
219,31,0
220,31,0
221,31,0
222,31,0
223,31,0
224,31,0
225,31,0
226,31,0
227,31,0
228,31,0
229,31,0
230,31,0
231,31,0
232,31,0
233,31,0
100,32,0
105,32,0
2,33,0
15,33,0
16,33,0
17,33,0
18,33,0
19,33,0
20,33,0
21,33,0
22,33,0
24,33,0
25,33,0
26,33,0
27,33,0
28,33,0
29,33,0
30,33,0
31,33,0
42,33,0
43,33,0
44,33,0
45,33,0
46,33,0
47,33,0
48,33,0
49,33,0
50,33,0
51,33,0
52,33,0
53,33,0
