res,con,para
1,4,0
4,4,0
6,4,0
101,4,0
103,4,0
104,4,0
105,4,0
106,4,0
107,4,0
108,4,0
109,4,0
110,4,0
115,4,0
1,5,0
2,5,0
3,5,0
4,5,0
5,5,0
6,5,0
10,5,0
13,5,0
15,5,0
17,5,0
19,5,0
21,5,0
22,5,0
23,5,0
24,5,0
25,5,0
45,5,0
54,5,0
56,5,0
59,5,0
60,5,0
64,5,0
65,5,0
66,5,0
67,5,0
68,5,0
69,5,0
101,5,0
102,5,0
103,5,0
104,5,0
105,5,0
106,5,0
107,5,0
108,5,0
109,5,0
110,5,0
115,5,0
116,5,0
4,7,0
5,7,0
21,7,0
23,7,0
24,7,0
25,7,0
26,7,0
31,7,0
32,7,0
33,7,0
34,7,0
64,7,0
65,7,0
66,7,0
67,7,0
68,7,0
69,7,0
70,7,0
79,7,0
101,7,0
102,7,0
103,7,0
104,7,0
105,7,0
106,7,0
107,7,0
108,7,0
109,7,0
110,7,0
115,7,0
116,7,0
1,8,0
2,8,0
4,8,0
5,8,0
6,8,0
101,8,0
102,8,0
103,8,0
104,8,0
105,8,0
106,8,0
107,8,0
108,8,0
109,8,0
110,8,0
115,8,0
116,8,0
2,9,0
5,9,0
6,9,0
102,9,0
2,10,0
6,10,0
6,11,0
2,12,0
5,12,0
6,12,0
102,12,0
2,13,0
6,13,0
2,14,0
5,14,0
6,14,0
102,14,0
2,15,0
6,15,0
1,16,0
2,16,0
5,16,0
6,16,0
15,16,0
17,16,0
21,16,0
23,16,0
24,16,0
25,16,0
36,16,0
37,16,0
40,16,0
54,16,0
56,16,0
64,16,0
65,16,0
66,16,0
67,16,0
68,16,0
69,16,0
102,16,0
2,17,0
6,17,0
2,18,0
6,18,0
2,19,0
6,19,0
2,20,0
6,20,0
1,21,0
2,21,0
2,22,0
3,22,0
5,22,0
6,22,0
102,22,0
5,23,0
10,23,0
13,23,0
15,23,0
56,23,0
59,23,0
64,23,0
65,23,0
67,23,0
102,23,0
2,24,0
3,24,0
5,24,0
6,24,0
2,25,0
3,25,0
6,25,0
2,26,0
3,26,0
5,26,0
6,26,0
10,26,0
13,26,0
15,26,0
19,26,0
45,26,0
52,26,0
53,26,0
54,26,0
56,26,0
60,26,0
102,26,0
2,27,0
6,27,0
16,28,0
23,28,0
24,28,0
25,28,0
26,28,0
65,28,0
66,28,0
67,28,0
68,28,0
69,28,0
70,28,0
79,28,0
2,29,0
3,29,0
5,29,0
6,29,0
23,29,0
24,29,0
25,29,0
26,29,0
29,29,0
30,29,0
32,29,0
35,29,0
39,29,0
65,29,0
66,29,0
67,29,0
68,29,0
69,29,0
70,29,0
71,29,0
72,29,0
73,29,0
74,29,0
75,29,0
102,29,0
3,30,0
12,30,0
13,30,0
14,30,0
16,30,0
19,30,0
20,30,0
29,30,0
30,30,0
31,30,0
32,30,0
33,30,0
35,30,0
36,30,0
37,30,0
38,30,0
39,30,0
40,30,0
46,30,0
47,30,0
48,30,0
49,30,0
50,30,0
51,30,0
57,30,0
58,30,0
60,30,0
61,30,0
62,30,0
63,30,0
71,30,0
72,30,0
73,30,0
74,30,0
75,30,0
2,31,0
3,31,0
2,32,0
3,32,0
6,32,0
2,33,0
3,33,0
6,33,0
38,34,0
39,34,0
29,35,0
30,35,0
32,35,0
39,35,0
2,36,0
6,36,0
2,37,0
6,37,0
1,38,0
2,38,0
6,38,0
1,39,0
2,39,0
2,40,0
6,40,0
1,41,0
2,41,0
1,42,0
2,42,0
4,42,0
5,42,0
6,42,0
101,42,0
102,42,0
103,42,0
104,42,0
105,42,0
106,42,0
107,42,0
108,42,0
109,42,0
110,42,0
115,42,0
10,43,0
11,43,0
12,43,0
16,43,0
45,43,0
46,43,0
47,43,0
49,43,0
50,43,0
55,43,0
57,43,0
58,43,0
5,44,0
21,44,0
22,44,0
23,44,0
24,44,0
25,44,0
64,44,0
65,44,0
66,44,0
67,44,0
68,44,0
69,44,0
102,44,0
2,45,0
6,45,0
102,45,0
2,46,0
5,46,0
6,46,0
102,46,0
2,47,0
5,47,0
6,47,0
102,47,0
2,48,0
5,48,0
6,48,0
102,48,0
2,49,0
5,49,0
6,49,0
102,49,0
1,50,0
2,50,0
5,50,0
6,50,0
15,50,0
17,50,0
21,50,0
23,50,0
24,50,0
25,50,0
36,50,0
37,50,0
40,50,0
54,50,0
56,50,0
64,50,0
65,50,0
66,50,0
67,50,0
68,50,0
69,50,0
102,50,0
2,51,0
5,51,0
6,51,0
102,51,0
1,52,0
2,52,0
5,52,0
6,52,0
15,52,0
17,52,0
21,52,0
23,52,0
24,52,0
25,52,0
36,52,0
37,52,0
40,52,0
54,52,0
56,52,0
64,52,0
65,52,0
66,52,0
67,52,0
68,52,0
69,52,0
102,52,0
1,53,0
2,53,0
5,53,0
6,53,0
15,53,0
17,53,0
21,53,0
23,53,0
24,53,0
25,53,0
36,53,0
37,53,0
40,53,0
54,53,0
56,53,0
64,53,0
65,53,0
66,53,0
67,53,0
68,53,0
69,53,0
102,53,0
5,54,0
10,54,0
13,54,0
15,54,0
21,54,0
22,54,0
23,54,0
24,54,0
25,54,0
45,54,0
56,54,0
59,54,0
60,54,0
61,54,0
64,54,0
67,54,0
102,54,0
1,55,0
2,55,0
5,55,0
6,55,0
15,55,0
17,55,0
21,55,0
23,55,0
24,55,0
25,55,0
36,55,0
37,55,0
40,55,0
54,55,0
56,55,0
64,55,0
65,55,0
66,55,0
67,55,0
68,55,0
69,55,0
2,56,0
6,56,0
102,56,0
1,57,0
2,57,0
5,57,0
6,57,0
15,57,0
17,57,0
21,57,0
23,57,0
24,57,0
25,57,0
36,57,0
37,57,0
40,57,0
54,57,0
56,57,0
64,57,0
65,57,0
66,57,0
67,57,0
68,57,0
69,57,0
102,57,0
1,58,0
2,58,0
5,58,0
6,58,0
15,58,0
17,58,0
21,58,0
23,58,0
24,58,0
25,58,0
36,58,0
37,58,0
40,58,0
54,58,0
56,58,0
64,58,0
65,58,0
66,58,0
67,58,0
68,58,0
69,58,0
2,59,0
6,59,0
2,60,0
6,60,0
2,61,0
6,61,0
1,62,0
2,62,0
3,62,0
6,62,0
2,63,0
6,63,0
1,64,0
2,64,0
1,65,0
2,65,0
2,66,0
6,66,0
2,67,0
6,67,0
2,68,0
3,68,0
5,69,0
2,70,0
3,70,0
5,70,0
6,70,0
10,70,0
13,70,0
15,70,0
19,70,0
45,70,0
52,70,0
53,70,0
54,70,0
56,70,0
60,70,0
102,70,0
3,71,0
12,71,0
13,71,0
14,71,0
16,71,0
19,71,0
20,71,0
29,71,0
30,71,0
31,71,0
32,71,0
33,71,0
35,71,0
36,71,0
37,71,0
38,71,0
39,71,0
40,71,0
46,71,0
47,71,0
48,71,0
49,71,0
50,71,0
51,71,0
57,71,0
58,71,0
60,71,0
61,71,0
62,71,0
63,71,0
71,71,0
72,71,0
73,71,0
74,71,0
75,71,0
2,72,0
3,72,0
2,73,0
29,74,0
30,74,0
32,74,0
39,74,0
29,75,0
30,75,0
32,75,0
39,75,0
2,76,0
3,76,0
5,76,0
6,76,0
102,76,0
1,77,0
2,78,0
6,78,0
5,79,0
9,79,0
11,79,0
12,79,0
13,79,0
14,79,0
16,79,0
18,79,0
19,79,0
20,79,0
21,79,0
22,79,0
23,79,0
24,79,0
25,79,0
26,79,0
36,79,0
37,79,0
38,79,0
39,79,0
46,79,0
47,79,0
49,79,0
50,79,0
51,79,0
57,79,0
58,79,0
60,79,0
62,79,0
63,79,0
67,79,0
68,79,0
69,79,0
70,79,0
102,79,0
4,80,0
9,81,0
11,81,0
12,81,0
14,81,0
16,81,0
18,81,0
20,81,0
22,81,0
23,81,0
24,81,0
25,81,0
26,81,0
28,81,0
29,81,0
30,81,0
38,81,0
39,81,0
46,81,0
49,81,0
50,81,0
51,81,0
57,81,0
58,81,0
62,81,0
63,81,0
67,81,0
68,81,0
69,81,0
70,81,0
71,81,0
80,82,0
81,82,0
27,83,0
28,83,0
29,83,0
30,83,0
39,83,0
71,83,0
29,84,0
30,84,0
39,84,0
71,84,0
79,84,0
80,84,0
81,84,0
9,85,0
12,85,0
14,85,0
16,85,0
28,85,0
29,85,0
30,85,0
32,85,0
35,85,0
38,85,0
39,85,0
46,85,0
48,85,0
49,85,0
50,85,0
51,85,0
57,85,0
58,85,0
62,85,0
63,85,0
71,85,0
74,85,0
75,85,0
9,86,0
12,86,0
14,86,0
16,86,0
23,86,0
25,86,0
26,86,0
29,86,0
30,86,0
32,86,0
35,86,0
38,86,0
39,86,0
46,86,0
48,86,0
49,86,0
50,86,0
51,86,0
57,86,0
58,86,0
62,86,0
63,86,0
70,86,0
74,86,0
75,86,0
9,87,0
11,87,0
16,87,0
23,87,0
24,87,0
25,87,0
26,87,0
58,87,0
67,87,0
70,87,0
9,88,0
16,88,0
29,88,0
30,88,0
32,88,0
33,88,0
35,88,0
38,88,0
39,88,0
58,88,0
71,88,0
74,88,0
75,88,0
77,88,0
78,88,0
79,88,0
80,88,0
9,89,0
16,89,0
23,89,0
24,89,0
25,89,0
26,89,0
29,89,0
30,89,0
38,89,0
39,89,0
58,89,0
66,89,0
67,89,0
68,89,0
69,89,0
70,89,0
71,89,0
73,89,0
77,89,0
79,89,0
80,89,0
9,90,0
16,90,0
28,90,0
29,90,0
30,90,0
58,90,0
71,90,0
79,90,0
80,90,0
80,91,0
10,92,0
12,92,0
13,92,0
14,92,0
15,92,0
16,92,0
17,92,0
19,92,0
20,92,0
21,92,0
22,92,0
23,92,0
24,92,0
25,92,0
26,92,0
32,92,0
33,92,0
34,92,0
36,92,0
37,92,0
38,92,0
39,92,0
40,92,0
45,92,0
46,92,0
47,92,0
48,92,0
52,92,0
54,92,0
56,92,0
59,92,0
60,92,0
61,92,0
64,92,0
65,92,0
66,92,0
67,92,0
69,92,0
70,92,0
73,92,0
80,93,0
81,93,0
10,94,0
11,94,0
16,94,0
17,94,0
23,94,0
24,94,0
25,94,0
26,94,0
32,94,0
33,94,0
34,94,0
38,94,0
40,94,0
45,94,0
46,94,0
47,94,0
55,94,0
57,94,0
58,94,0
61,94,0
62,94,0
63,94,0
65,94,0
66,94,0
67,94,0
68,94,0
69,94,0
70,94,0
73,94,0
3,95,0
25,95,0
26,95,0
33,95,0
34,95,0
67,95,0
68,95,0
70,95,0
73,95,0
3,96,0
37,96,0
38,96,0
39,96,0
40,96,0
22,97,0
23,97,0
24,97,0
25,97,0
26,97,0
32,97,0
33,97,0
66,97,0
67,97,0
68,97,0
69,97,0
70,97,0
3,98,0
9,99,0
12,99,0
14,99,0
16,99,0
46,99,0
48,99,0
49,99,0
50,99,0
51,99,0
57,99,0
58,99,0
62,99,0
63,99,0
29,100,0
30,100,0
71,100,0
79,100,0
80,100,0
81,100,0
23,101,1
24,101,1
25,101,1
26,101,1
29,101,1
30,101,1
33,101,1
67,101,1
68,101,1
71,101,1
85,101,1
86,101,1
87,101,1
88,101,1
89,101,1
90,101,1
92,101,1
94,101,1
95,101,1
97,101,1
29,102,1
30,102,1
33,102,1
71,102,1
85,102,1
86,102,1
88,102,1
89,102,1
90,102,1
100,102,1
23,103,1
24,103,1
25,103,1
26,103,1
33,103,1
67,103,1
68,103,1
86,103,1
87,103,1
89,103,1
92,103,1
94,103,1
95,103,1
97,103,1
33,104,1
79,104,1
80,104,1
81,104,1
88,104,1
89,104,1
90,104,1
91,104,1
93,104,1
100,104,1
101,104,0
102,104,0
103,104,0
105,104,0
33,105,1
39,105,1
77,105,1
85,105,1
86,105,1
88,105,1
89,105,1
92,105,1
96,105,1
32,106,1
33,106,1
35,106,1
74,106,1
88,106,1
92,106,1
94,106,1
95,106,1
96,106,1
97,106,1
98,106,1
101,106,0
102,106,0
103,106,0
104,106,0
105,106,0
108,106,0
35,107,1
39,107,1
85,107,1
86,107,1
88,107,1
89,107,1
92,107,1
96,107,1
116,107,0
33,108,1
39,108,1
85,108,1
86,108,1
88,108,1
89,108,1
92,108,1
96,108,1
101,108,0
102,108,0
103,108,0
104,108,0
105,108,0
38,109,1
39,109,1
85,109,1
86,109,1
88,109,1
89,109,1
92,109,1
96,109,1
10,110,1
32,110,1
45,110,1
79,110,1
80,110,1
81,110,1
29,111,1
30,111,1
71,111,1
81,111,1
82,111,1
83,111,1
84,111,1
29,112,1
30,112,1
71,112,1
85,112,1
86,112,1
88,112,1
89,112,1
90,112,1
100,112,1
39,113,1
78,114,1
39,115,1
35,116,1
79,116,1
80,116,1
81,116,1
88,116,1
89,116,1
90,116,1
91,116,1
93,116,1
100,116,1
39,117,1
77,117,1
105,117,0
107,117,0
108,117,0
