res,con,para
3,7,0
7,7,0
1,8,0
2,8,0
3,8,0
4,8,0
7,8,0
8,8,0
9,8,0
1,9,0
8,10,0
7,11,0
119,11,0
122,11,0
123,11,0
124,11,0
125,11,0
126,11,0
127,11,0
128,11,0
129,11,0
132,11,0
134,11,0
135,11,0
137,11,0
138,11,0
140,11,0
141,11,0
1,12,0
7,12,0
9,12,0
1,13,0
3,13,0
4,13,0
9,13,0
1,14,0
3,14,0
4,14,0
9,14,0
20,15,0
23,15,0
28,15,0
29,15,0
31,15,0
53,16,0
59,16,0
63,17,0
64,17,0
1,18,0
9,18,0
1,19,0
4,19,0
9,19,0
1,20,0
3,20,0
4,20,0
5,20,0
9,20,0
7,21,0
56,21,0
57,21,0
59,21,0
62,21,0
8,22,0
53,22,0
59,22,0
60,22,0
1,23,0
9,23,0
1,24,0
3,24,0
4,24,0
9,24,0
2,25,0
4,25,0
5,25,0
6,25,0
8,25,0
21,25,0
22,25,0
43,25,0
1,26,0
3,26,0
4,26,0
9,26,0
8,27,0
23,27,0
30,27,0
31,27,0
36,27,0
37,27,0
38,27,0
63,27,0
1,28,0
2,28,0
3,28,0
4,28,0
5,28,0
6,28,0
7,28,0
8,28,0
9,28,0
19,28,0
28,28,0
35,28,0
43,28,0
45,28,0
48,28,0
1,29,0
2,29,0
4,29,0
5,29,0
8,29,0
9,29,0
18,29,0
19,29,0
27,29,0
28,29,0
33,29,0
64,29,0
2,30,0
2,31,0
8,31,0
36,31,0
1,32,0
3,32,0
4,32,0
9,32,0
1,33,0
4,33,0
9,33,0
1,34,0
4,34,0
9,34,0
1,35,0
3,35,0
4,35,0
9,35,0
1,36,0
4,36,0
9,36,0
1,37,0
4,37,0
9,37,0
1,38,0
4,38,0
9,38,0
1,39,0
4,39,0
9,39,0
1,40,0
4,40,0
5,40,0
9,40,0
11,41,0
12,41,0
1,42,0
3,42,0
4,42,0
9,42,0
119,42,0
122,42,0
123,42,0
124,42,0
125,42,0
126,42,0
127,42,0
128,42,0
129,42,0
132,42,0
134,42,0
135,42,0
137,42,0
138,42,0
140,42,0
141,42,0
1,43,0
4,43,0
9,43,0
1,44,0
2,44,0
4,44,0
5,44,0
9,44,0
1,45,0
3,45,0
4,45,0
9,45,0
119,45,0
122,45,0
123,45,0
124,45,0
128,45,0
129,45,0
134,45,0
141,45,0
1,46,0
3,46,0
4,46,0
9,46,0
119,46,0
122,46,0
123,46,0
124,46,0
125,46,0
126,46,0
127,46,0
128,46,0
129,46,0
132,46,0
134,46,0
137,46,0
138,46,0
140,46,0
141,46,0
1,47,0
3,47,0
4,47,0
9,47,0
119,47,0
122,47,0
123,47,0
124,47,0
128,47,0
129,47,0
132,47,0
134,47,0
137,47,0
138,47,0
140,47,0
141,47,0
1,48,0
3,48,0
4,48,0
9,48,0
119,48,0
122,48,0
123,48,0
124,48,0
128,48,0
129,48,0
134,48,0
138,48,0
140,48,0
141,48,0
1,49,0
3,49,0
4,49,0
9,49,0
119,49,0
122,49,0
123,49,0
124,49,0
128,49,0
129,49,0
134,49,0
137,49,0
138,49,0
140,49,0
141,49,0
1,50,0
3,50,0
4,50,0
7,50,0
9,50,0
119,50,0
122,50,0
123,50,0
124,50,0
128,50,0
129,50,0
134,50,0
138,50,0
140,50,0
141,50,0
1,51,0
3,51,0
4,51,0
7,51,0
9,51,0
119,51,0
122,51,0
123,51,0
124,51,0
125,51,0
126,51,0
127,51,0
128,51,0
129,51,0
132,51,0
134,51,0
135,51,0
137,51,0
138,51,0
140,51,0
141,51,0
1,52,0
2,52,0
4,52,0
8,52,0
18,52,0
19,52,0
20,52,0
21,52,0
22,52,0
23,52,0
24,52,0
25,52,0
26,52,0
27,52,0
28,52,0
29,52,0
31,52,0
32,52,0
33,52,0
34,52,0
35,52,0
36,52,0
37,52,0
38,52,0
39,52,0
43,52,0
44,52,0
45,52,0
47,52,0
48,52,0
49,52,0
50,52,0
51,52,0
52,52,0
54,52,0
60,52,0
61,52,0
119,52,0
122,52,0
123,52,0
124,52,0
125,52,0
126,52,0
127,52,0
128,52,0
129,52,0
132,52,0
134,52,0
135,52,0
137,52,0
138,52,0
140,52,0
141,52,0
5,53,0
1,54,0
2,54,0
4,54,0
5,54,0
7,54,0
8,54,0
9,54,0
18,54,0
19,54,0
20,54,0
21,54,0
22,54,0
23,54,0
24,54,0
25,54,0
26,54,0
27,54,0
28,54,0
29,54,0
30,54,0
31,54,0
32,54,0
33,54,0
34,54,0
35,54,0
36,54,0
37,54,0
38,54,0
39,54,0
43,54,0
44,54,0
45,54,0
47,54,0
48,54,0
49,54,0
50,54,0
52,54,0
53,54,0
54,54,0
56,54,0
59,54,0
60,54,0
63,54,0
64,54,0
65,54,0
72,54,0
79,54,0
81,54,0
119,54,0
122,54,0
123,54,0
124,54,0
125,54,0
126,54,0
127,54,0
128,54,0
129,54,0
132,54,0
134,54,0
135,54,0
137,54,0
138,54,0
140,54,0
141,54,0
1,55,0
4,55,0
9,55,0
1,56,0
4,56,0
9,56,0
1,57,0
4,57,0
9,57,0
1,58,0
2,58,0
3,58,0
4,58,0
7,58,0
8,58,0
9,58,0
18,58,0
19,58,0
20,58,0
21,58,0
22,58,0
23,58,0
24,58,0
25,58,0
26,58,0
27,58,0
28,58,0
29,58,0
30,58,0
31,58,0
32,58,0
33,58,0
34,58,0
35,58,0
36,58,0
37,58,0
38,58,0
39,58,0
43,58,0
45,58,0
48,58,0
50,58,0
4,59,0
5,59,0
1,60,0
4,60,0
5,60,0
9,60,0
1,61,0
3,61,0
4,61,0
7,61,0
9,61,0
119,61,0
122,61,0
123,61,0
124,61,0
125,61,0
126,61,0
127,61,0
128,61,0
129,61,0
132,61,0
134,61,0
135,61,0
137,61,0
138,61,0
140,61,0
141,61,0
1,62,0
4,62,0
9,62,0
1,63,0
4,63,0
9,63,0
1,64,0
4,64,0
9,64,0
1,65,0
3,65,0
4,65,0
7,65,0
9,65,0
1,66,0
2,66,0
12,66,0
14,66,0
45,66,0
48,66,0
50,66,0
61,66,0
1,67,0
3,67,0
4,67,0
7,67,0
9,67,0
119,67,0
122,67,0
123,67,0
124,67,0
125,67,0
126,67,0
127,67,0
128,67,0
129,67,0
132,67,0
134,67,0
135,67,0
137,67,0
138,67,0
140,67,0
141,67,0
7,68,0
72,68,0
19,69,0
28,69,0
29,69,0
52,69,0
54,69,0
72,69,0
80,69,0
81,69,0
7,70,0
68,71,0
72,71,0
7,72,0
7,73,0
52,74,0
54,74,0
68,74,0
72,74,0
7,75,0
27,75,0
28,75,0
29,75,0
54,75,0
72,75,0
80,75,0
81,75,0
4,76,0
5,76,0
6,76,0
8,76,0
43,76,0
64,76,0
52,77,0
54,77,0
78,77,0
8,78,0
18,78,0
19,78,0
28,78,0
29,78,0
35,78,0
43,78,0
48,78,0
50,78,0
52,78,0
54,78,0
63,78,0
64,78,0
8,79,0
18,79,0
19,79,0
28,79,0
29,79,0
33,79,0
35,79,0
36,79,0
45,79,0
48,79,0
49,79,0
50,79,0
53,79,0
54,79,0
56,79,0
59,79,0
62,79,0
63,79,0
64,79,0
68,79,0
8,80,0
23,80,0
24,80,0
28,80,0
35,80,0
38,80,0
39,80,0
45,80,0
48,80,0
49,80,0
52,80,0
53,80,0
54,80,0
56,80,0
59,80,0
62,80,0
63,80,0
64,80,0
7,81,0
8,81,0
18,81,0
35,81,0
38,81,0
39,81,0
45,81,0
48,81,0
49,81,0
52,81,0
53,81,0
54,81,0
56,81,0
59,81,0
62,81,0
63,81,0
64,81,0
7,82,0
8,82,0
19,82,0
28,82,0
29,82,0
43,82,0
45,82,0
48,82,0
50,82,0
52,82,0
53,82,0
54,82,0
56,82,0
59,82,0
62,82,0
63,82,0
64,82,0
52,83,0
53,83,0
54,83,0
55,83,0
59,83,0
60,83,0
65,83,0
72,83,0
80,83,0
81,83,0
20,84,0
22,84,0
23,84,0
26,84,0
27,84,0
30,84,0
31,84,0
35,84,0
39,84,0
52,84,0
53,84,0
54,84,0
59,84,0
60,84,0
52,85,0
53,85,0
54,85,0
55,85,0
59,85,0
60,85,0
65,85,0
7,86,0
8,86,0
59,86,0
7,87,0
