Node ID,Species ID ,Stage ID,Stage,Species.StageID,WorkingName,OrganismalGroup,NodeType,Resolution,ResolutionNotes,Feeding,LifestyleStage,LifestyleSpecies,ConsumerStrategyStage,System,HabitatAffiliation,Mobility,Residency,NativeStatus,BodySize(g),BodySizeEstimation,BodySizeNotes,BodySizeN,Biomass(kg/ha),BiomassEstimation,BiomassNotes,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Order,Suborder,Infraorder,Superfamily,Family,Genus,Specific epithet,Subspecies,Node notes
2,2,1,Adult,2.1,Carrion,Detritus,Detritus/Stock,Assemblage,,,,,,,,Low,,,,,,,,,,,,,,,,,,,,,,,,NA
1,1,1,Adult,1.1,Detritus,Detritus,Detritus/Stock,Assemblage,,,,,,,,Low,,,,,,,,,,,,,,,,,,,,,,,,NA
178,121,3,Acanthella,121.3,Acanthella-larva,Acanthocephalan,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,trophically transmitted parasite,,,,,,,,,,,,,Animalia,Acanthocephala,,,,,,,,,,,,,NA
55,55,1,Adult,55.1,Mites,Acari,Taxon,Family,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Chelicerata,,,Acari,,,,,,Halacaridae,,,,NA
46,46,1,Adult,46.1,Aoridae amphipod,Amphipod,Taxon,Family,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Amphipoda,,,,Aoridae,,,,NA
48,48,1,Adult,48.1,Corophium insidiosum,Amphipod,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Amphipoda,,,,,Corophium,insidiosum,,NA
49,49,1,Adult,49.1,Corophium volutator,Amphipod,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Amphipoda,,,,,Corophium ,volutator,,NA
45,45,1,Adult,45.1,Gammarus locusta,Amphipod,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Amphipoda,,,,,Gammarus,locusta,,NA
42,42,1,Adult,42.1,Gammarus oceanicus,Amphipod,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Amphipoda,,,,,Gammarus,oceanicus,,NA
43,43,1,Adult,43.1,Gammarus salinus ,Amphipod,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Amphipoda,,,,,Gammarus,salinus,,NA
44,44,1,Adult,44.1,Gammarus zaddachi,Amphipod,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Amphipoda,,,,,Gammarus,zaddachi,,NA
47,47,1,Adult,47.1,Isaeid amphipod,Amphipod,Taxon,Family,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Amphipoda,,,,Isaeidae,,,,NA
12,12,1,Adult,12.1,Rag worm,Annelid,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Hediste,diversicolor,,NA
13,13,1,Adult,13.1,Spionid polychaete,Annelid,Taxon,Family,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,Spionidae,,,,NA
14,14,1,Adult,14.1,Tubificid oligochaete,Annelid,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Annelida,,,Oligochaeta,,,,,,,Tubificoides,sp.,,NA
57,57,1,Adult,57.1,Common starfish,Asteroid,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Intermediate,resident,,,,,,,,,Animalia,Echinodermata,,,Asteroidea,,,,,,,Asterias,rubens,,NA
9,9,1,Adult,9.1,Bacteria,Bacteria,Common Name Group,Assemblage,,Feeding,Freeliving,Freeliving,detritivore,,,Low,resident,,,,,,,,,Prokaryota,,,,,,,,,,,,,,NA
27,27,1,Adult,27.1,Bay barnacle,Barnacle,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Cirripedia,,,,,,,Balanus,improvisus,,NA
71,71,1,Adult,71.1,Cormorants,Bird,Taxon,Family,,Feeding,Freeliving,Freeliving,predator,,,High,migrant,,,,,,,,,Animalia,Chordata,,,Aves,,,,,,Phalacrocoracidae,,,,NA
73,73,1,Adult,73.1,Eiders/Bay ducks,Bird,Taxon,Family,,Feeding,Freeliving,Freeliving,predator,,,High,migrant,,,,,,,,,Animalia,Chordata,,,Aves,,,,,,"Anatidae (Somateriinae, Athyinae)",,,,NA
70,70,1,Adult,70.1,Grebes/Loons,Bird,Taxon,Family,,Feeding,Freeliving,Freeliving,predator,,,High,migrant,,,,,,,,,Animalia,Chordata,,,Aves,,,,,,Podicepidae/Gaviidae,,,,NA
75,75,1,Adult,75.1,Gulls,Bird,Taxon,Family,,Feeding,Freeliving,Freeliving,predator,,,High,migrant,,,,,,,,,Animalia,Chordata,,,Aves,,,,,,Laridae ,,,,NA
74,74,1,Adult,74.1,Plovers,Bird,Taxon,Family,,Feeding,Freeliving,Freeliving,predator,,,High,migrant,,,,,,,,,Animalia,Chordata,,,Aves,,,,,,Charadriidae,,,,NA
77,77,1,Adult,77.1,Rails,Bird,Taxon,Family,,Feeding,Freeliving,Freeliving,predator,,,High,migrant,,,,,,,,,Animalia,Chordata,,,Aves,,,,,,Rallidae,,,,NA
72,72,1,Adult,72.1,Shelducks/Ducks,Bird,Taxon,Family,,Feeding,Freeliving,Freeliving,predator,,,High,migrant,,,,,,,,,Animalia,Chordata,,,Aves,,,,,,"Anatidae (Tadorninae, Anatinae)",,,,NA
76,76,1,Adult,76.1,Terns,Bird,Taxon,Family,,Feeding,Freeliving,Freeliving,predator,,,High,migrant,,,,,,,,,Animalia,Chordata,,,Aves,,,,,,Sternidae,,,,NA
18,18,1,Adult,18.1,Baltic macoma,Bivalve,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Mollusca,,,Bivalvia,,,,,,,Macoma ,balthica,,NA
15,15,1,Adult,15.1,Blue mussel,Bivalve,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Mollusca,,,Bivalvia,,,,,,,Mytilus,edulis,,NA
16,16,1,Adult,16.1,Common cockle,Bivalve,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Mollusca,,,Bivalvia,,,,,,,Cerastoderma,edule,,NA
17,17,1,Adult,17.1,Soft-shelled clam,Bivalve,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Mollusca,,,Bivalvia,,,,,,,Mya,arenaria,,NA
28,28,1,Adult,28.1,Cladocera,Branchiopod,Taxon,Order,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Branchiopoda,,Cladocera,,,,,,,,NA
157,109,1,Adult,109.1,Caryophyllidea sp.,Cestode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Cestoda,,,,,,Caryophyllidea,,,,NA
159,110,1,Adult,110.1,Proteocephalus gobiorum /sp.,Cestode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Cestoda,,,,,,,Protecocephalus,gobiorum,,NA
29,29,1,Adult,29.1,Acartia bifilosa,Copepod,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Copepoda,,Calanoida,,,,,Acartia,bifilosa,,NA
31,31,1,Adult,31.1,Acartia discaudata,Copepod,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Copepoda,,Calanoida,,,,,Acartia,discaudata,,NA
30,30,1,Adult,30.1,Acartia tonsa,Copepod,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Copepoda,,Calanoida,,,,,Acartia,tonsa,,NA
32,32,1,Adult,32.1,Centropages hamatus,Copepod,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Copepoda,,Calanoida,,,,,Centropages,hamatus,,NA
37,37,1,Adult,37.1,Harpacticoid copepods,Copepod,Taxon,Order,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Copepoda,,Harpacticoida,,,,,,,,NA
35,35,1,Adult,35.1,Oithona atlantica,Copepod,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Copepoda,,Cyclopoida,,,,,Oithona,atlantica,,NA
36,36,1,Adult,36.1,Oithona similis,Copepod,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Copepoda,,Cyclopoida,,,,,Oithona,similis,,NA
33,33,1,Adult,33.1,Pseudocalanus elongatus,Copepod,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Copepoda,,Calanoida,,,,,Pseudocalanus,elongatus,,NA
34,34,1,Adult,34.1,Temora longicornis,Copepod,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Copepoda,,Calanoida,,,,,Temora,longicornis,,NA
180,123,1,Adult,123.1,Thersitina gasterostei,Copepod,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Crustacea,,,Copepoda,,,,,,Ergalisidae,Thersitina,gasterostei,,NA
41,41,1,Adult,41.1,European green crab,Crab,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Intermediate,resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Decapoda,,,,,Carcinus,maenas,,NA
56,56,1,Adult,56.1,Chironomids,Chironomid,Taxon,Family,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Hexapoda,,,Insecta,,Diptera,,,,Chironomidae,,,,NA
63,63,1,Adult,63.1,Black goby,Fish,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,High,resident,,,,,,,,,Animalia,Chordata,,,Osteichthyes ,,,,,,,Gobius,niger,,NA
66,66,1,Adult,66.1,Broad-nosed pipefish,Fish,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,High,resident,,,,,,,,,Animalia,Chordata,,,Osteichthyes ,,,,,,,Syngnathus,typhle,,NA
62,62,1,Adult,62.1,Butterfish,Fish,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,High,resident,,,,,,,,,Animalia,Chordata,,,Osteichthyes ,,,,,,,Pholis,gunnellus,,NA
59,59,1,Adult,59.1,Common goby,Fish,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,High,resident,,,,,,,,,Animalia,Chordata,,,Osteichthyes ,,,,,,,Pomatoschistus,microps,,NA
65,65,1,Adult,65.1,Dover sole,Fish,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,High,resident,,,,,,,,,Animalia,Chordata,,,Osteichthyes ,,,,,,,Solea,solea,,NA
64,64,1,Adult,64.1,European flounder,Fish,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,High,resident,,,,,,,,,Animalia,Chordata,,,Osteichthyes ,,,,,,,Pleuronectes,flesus,,NA
69,69,1,Adult,69.1,Nine-spined stickleback,Fish,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,High,resident,,,,,,,,,Animalia,Chordata,,,Osteichthyes ,,,,,,,Pungitius,pungitius,,NA
